YEAR,TITLE,citations
2017,Stochastic Variance Reduction Methods for Policy Evaluation,113
2017,Rule-Enhanced Penalized Regression by Column Generation using Rectangular Maximum Agreement,3
2017,Neural Audio Synthesis of Musical Notes with WaveNet Autoencoders,401
2017,Statistical Inference for Incomplete Ranking Data: The Case of Rank-Dependent Coarsening,9
2017,Maximum Selection and Ranking under Noisy Comparisons,37
2017,Fake News Mitigation via Point Process Based Intervention,129
2017,Regret Minimization in Behaviorally-Constrained Zero-Sum Games,29
2017,Coresets for Vector Summarization with Applications to Network Graphs,7
2017,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,4898
2017,Input Switched Affine Networks: An RNN Architecture Designed for Interpretability,30
2017,Stabilising Experience Replay for Deep Multi-Agent Reinforcement Learning,412
2017,Counterfactual Data-Fusion for Online Reinforcement Learners,40
2017,Forward and Reverse Gradient-Based Hyperparameter Optimization,182
2017,Learning to Detect Sepsis with a Multitask Gaussian Process RNN Classifier,108
2017,Deep Bayesian Active Learning with Image Data,757
2017,Local-to-Global Bayesian Network Structure Learning,21
2017,Communication-efficient Algorithms for Distributed Stochastic Principal Component Analysis,29
2017,Differentiable Programs with Neural Libraries,46
2017,Zonotope Hit-and-run for Efficient Sampling from Projection DPPs,24
2017,No Spurious Local Minima in Nonconvex Low Rank Problems: A Unified Geometric Analysis,340
2017,Convolutional Sequence to Sequence Learning,2515
2017,On Context-Dependent Clustering of Bandits,92
2017,Neural Message Passing for Quantum Chemistry,2815
2017,Convex Phase Retrieval without Lifting via PhaseMax,16
